coverage,dimension,threshold,linkage,nb_motifs,nb_motif_sets,full_numba,repeat,Time [ms]
0.5,50,0.1,average,60,15,True,0,1438.1067
0.5,50,0.1,average,60,15,True,1,1326.8647
0.5,50,0.1,average,60,15,True,2,1408.4226
0.5,50,0.1,average,60,15,True,3,1216.7682
0.5,50,0.1,average,60,15,True,4,1249.8547
0.5,50,0.1,average,60,15,True,5,1243.7543
0.5,50,0.1,average,60,15,True,6,1227.7396
0.5,50,0.1,average,60,15,True,7,1361.9706
0.5,50,0.1,average,60,15,True,8,1334.6944
0.5,50,0.1,average,60,15,True,9,1305.1288
0.5,50,0.2,average,60,15,True,0,1328.6415
0.5,50,0.2,average,60,15,True,1,1450.6862
0.5,50,0.2,average,60,15,True,2,1579.3217
0.5,50,0.2,average,60,15,True,3,1415.5152
0.5,50,0.2,average,60,15,True,4,1284.4866
0.5,50,0.2,average,60,15,True,5,1404.0881
0.5,50,0.2,average,60,15,True,6,1366.2575
0.5,50,0.2,average,60,15,True,7,1405.5374
0.5,50,0.2,average,60,15,True,8,1468.4319
0.5,50,0.2,average,60,15,True,9,1674.1524
0.5,50,0.3,average,60,15,True,0,1472.4923
0.5,50,0.3,average,60,15,True,1,1638.9073
0.5,50,0.3,average,60,15,True,2,1618.3229
0.5,50,0.3,average,60,15,True,3,1466.6678
0.5,50,0.3,average,60,15,True,4,1405.205
0.5,50,0.3,average,60,15,True,5,1513.7376
0.5,50,0.3,average,60,15,True,6,1475.8647
0.5,50,0.3,average,60,15,True,7,1465.7445
0.5,50,0.3,average,60,15,True,8,1517.1912
0.5,50,0.3,average,60,15,True,9,1522.3269
0.5,50,0.4,average,60,15,True,0,1374.8967
0.5,50,0.4,average,60,15,True,1,1533.2691
0.5,50,0.4,average,60,15,True,2,1441.4009
0.5,50,0.4,average,60,15,True,3,1545.4083
0.5,50,0.4,average,60,15,True,4,1480.7697
0.5,50,0.4,average,60,15,True,5,1383.1862
0.5,50,0.4,average,60,15,True,6,1409.1376
0.5,50,0.4,average,60,15,True,7,1452.9246
0.5,50,0.4,average,60,15,True,8,1331.2788
0.5,50,0.4,average,60,15,True,9,1429.6089
0.5,50,0.5,average,60,15,True,0,1298.4866
0.5,50,0.5,average,60,15,True,1,1376.7231
0.5,50,0.5,average,60,15,True,2,1429.0524
0.5,50,0.5,average,60,15,True,3,1408.9149
0.5,50,0.5,average,60,15,True,4,1427.7277
0.5,50,0.5,average,60,15,True,5,1323.2782
0.5,50,0.5,average,60,15,True,6,1388.5799
0.5,50,0.5,average,60,15,True,7,1369.2761
0.5,50,0.5,average,60,15,True,8,1328.6789
0.5,50,0.5,average,60,15,True,9,1333.5742
