coverage,dimension,threshold,linkage,nb_motifs,nb_motif_sets,full_numba,repeat,Time [ms]
0.5,3,0.5,complete,60,15,True,0,5.70036
0.5,3,0.5,complete,60,15,True,1,5.216908
0.5,3,0.5,complete,60,15,True,2,5.101561
0.5,3,0.5,complete,60,15,True,3,4.704876
0.5,3,0.5,complete,60,15,True,4,4.288129
0.5,3,0.5,complete,60,15,True,5,4.282741
0.5,3,0.5,complete,60,15,True,6,5.203073
0.5,3,0.5,complete,60,15,True,7,4.703903
0.5,3,0.5,complete,60,15,True,8,5.156063
0.5,3,0.5,complete,60,15,True,9,5.516057
0.5,5,0.5,complete,60,15,True,0,13.869684
0.5,5,0.5,complete,60,15,True,1,12.257595
0.5,5,0.5,complete,60,15,True,2,14.862812
0.5,5,0.5,complete,60,15,True,3,13.533657
0.5,5,0.5,complete,60,15,True,4,13.513101
0.5,5,0.5,complete,60,15,True,5,13.705538
0.5,5,0.5,complete,60,15,True,6,12.887703
0.5,5,0.5,complete,60,15,True,7,13.982329
0.5,5,0.5,complete,60,15,True,8,14.457239
0.5,5,0.5,complete,60,15,True,9,15.181058
0.5,10,0.5,complete,60,15,True,0,61.63226
0.5,10,0.5,complete,60,15,True,1,63.989632
0.5,10,0.5,complete,60,15,True,2,62.211116
0.5,10,0.5,complete,60,15,True,3,61.766339
0.5,10,0.5,complete,60,15,True,4,63.592715
0.5,10,0.5,complete,60,15,True,5,61.568697
0.5,10,0.5,complete,60,15,True,6,61.023508
0.5,10,0.5,complete,60,15,True,7,61.406546
0.5,10,0.5,complete,60,15,True,8,66.802248
0.5,10,0.5,complete,60,15,True,9,65.696138
0.5,25,0.5,complete,60,15,True,0,396.851792
0.5,25,0.5,complete,60,15,True,1,402.468273
0.5,25,0.5,complete,60,15,True,2,412.915294
0.5,25,0.5,complete,60,15,True,3,397.056338
0.5,25,0.5,complete,60,15,True,4,402.007746
0.5,25,0.5,complete,60,15,True,5,392.135679
0.5,25,0.5,complete,60,15,True,6,414.704536
0.5,25,0.5,complete,60,15,True,7,415.664017
0.5,25,0.5,complete,60,15,True,8,404.803982
0.5,25,0.5,complete,60,15,True,9,417.562494
0.5,50,0.5,complete,60,15,True,0,1618.899472
0.5,50,0.5,complete,60,15,True,1,1669.480317
0.5,50,0.5,complete,60,15,True,2,1706.801485
0.5,50,0.5,complete,60,15,True,3,1738.473568
0.5,50,0.5,complete,60,15,True,4,1624.378758
0.5,50,0.5,complete,60,15,True,5,1627.223975
0.5,50,0.5,complete,60,15,True,6,1603.515257
0.5,50,0.5,complete,60,15,True,7,1641.895259
0.5,50,0.5,complete,60,15,True,8,1667.251337
0.5,50,0.5,complete,60,15,True,9,1686.219777
0.5,75,0.5,complete,60,15,True,0,3846.580782
0.5,75,0.5,complete,60,15,True,1,3771.289513
0.5,75,0.5,complete,60,15,True,2,3777.770151
0.5,75,0.5,complete,60,15,True,3,3777.137196
0.5,75,0.5,complete,60,15,True,4,3815.150574
0.5,75,0.5,complete,60,15,True,5,3865.73358
0.5,75,0.5,complete,60,15,True,6,3890.962414
0.5,75,0.5,complete,60,15,True,7,3784.345619
0.5,75,0.5,complete,60,15,True,8,3858.316836
0.5,75,0.5,complete,60,15,True,9,3818.466342
0.5,100,0.5,complete,60,15,True,0,6728.534906
0.5,100,0.5,complete,60,15,True,1,6655.478865
0.5,100,0.5,complete,60,15,True,2,6839.68118
0.5,100,0.5,complete,60,15,True,3,6815.801186
0.5,100,0.5,complete,60,15,True,4,6787.110384
0.5,100,0.5,complete,60,15,True,5,6732.50067
0.5,100,0.5,complete,60,15,True,6,6714.5524
0.5,100,0.5,complete,60,15,True,7,6817.913655
0.5,100,0.5,complete,60,15,True,8,6695.616095
0.5,100,0.5,complete,60,15,True,9,6665.022243
0.5,150,0.5,complete,60,15,True,0,14808.414005
0.5,150,0.5,complete,60,15,True,1,14931.036795
0.5,150,0.5,complete,60,15,True,2,14972.71793
0.5,150,0.5,complete,60,15,True,3,14934.217989
0.5,150,0.5,complete,60,15,True,4,15250.832911
0.5,150,0.5,complete,60,15,True,5,14907.772574
0.5,150,0.5,complete,60,15,True,6,15100.592646
0.5,150,0.5,complete,60,15,True,7,14941.114138
0.5,150,0.5,complete,60,15,True,8,15139.788446
0.5,150,0.5,complete,60,15,True,9,14689.674806
0.5,200,0.5,complete,60,15,True,0,26180.48779
0.5,200,0.5,complete,60,15,True,1,25911.291878
0.5,200,0.5,complete,60,15,True,2,26166.256069
0.5,200,0.5,complete,60,15,True,3,26283.392026
0.5,200,0.5,complete,60,15,True,4,26654.421565
0.5,200,0.5,complete,60,15,True,5,26027.635176
0.5,200,0.5,complete,60,15,True,6,26270.223613
0.5,200,0.5,complete,60,15,True,7,26264.930131
0.5,200,0.5,complete,60,15,True,8,26034.617793
0.5,200,0.5,complete,60,15,True,9,26681.681143
0.5,50,0.5,complete,3,1,True,0,15.825127
0.5,50,0.5,complete,3,1,True,1,15.738762
