benchmark_set,ds_name,time_series_id,model,time [s],time motif discovery [s],time motif aggregation [s]
scalability,length=500,0,EMD_star,0.014117956161499023,,
scalability,length=500,0,LAMA,0.018953561782836914,,
scalability,length=500,0,MMotifs,0.04510998725891113,,
scalability,length=500,0,GrammarVizRePair,0.7263631820678711,0.7245016098022461,0.001861572265625
scalability,length=500,0,LatentMotifs,0.7362918853759766,0.7361583709716797,0.000133514404296875
scalability,length=500,0,LoCoMotif,0.11588931083679199,0.11578655242919922,0.00010275840759277344
scalability,length=500,0,Motiflets,0.20547175407409668,0.20537257194519043,9.918212890625e-05
scalability,length=500,0,SetFinder,0.49976229667663574,0.4997444152832031,1.7881393432617188e-05
scalability,length=500,1,EMD_star,0.018392562866210938,,
scalability,length=500,1,LAMA,0.05294179916381836,,
scalability,length=500,1,MMotifs,0.09890151023864746,,
scalability,length=500,1,GrammarVizRePair,0.714552640914917,0.7078268527984619,0.006725788116455078
scalability,length=500,1,LatentMotifs,0.6485085487365723,0.6484940052032471,1.4543533325195312e-05
scalability,length=500,1,LoCoMotif,0.11612439155578613,0.1160581111907959,6.628036499023438e-05
scalability,length=500,1,Motiflets,0.20743250846862793,0.2073218822479248,0.000110626220703125
scalability,length=500,1,SetFinder,0.542839527130127,0.5428242683410645,1.52587890625e-05
scalability,length=500,2,EMD_star,0.01034855842590332,,
scalability,length=500,2,LAMA,0.015461921691894531,,
scalability,length=500,2,MMotifs,0.04511213302612305,,
scalability,length=500,2,GrammarVizRePair,0.7370789051055908,0.7334527969360352,0.003626108169555664
scalability,length=500,2,LatentMotifs,0.7215628623962402,0.7215509414672852,1.1920928955078125e-05
scalability,length=500,2,LoCoMotif,0.11343002319335938,0.1133122444152832,0.00011777877807617188
scalability,length=500,2,Motiflets,0.20610475540161133,0.2060096263885498,9.512901306152344e-05
scalability,length=500,2,SetFinder,0.5469570159912109,0.5469481945037842,8.821487426757812e-06
scalability,length=500,3,EMD_star,0.00941610336303711,,
scalability,length=500,3,LAMA,0.025470495223999023,,
scalability,length=500,3,MMotifs,0.044724464416503906,,
scalability,length=500,3,GrammarVizRePair,0.6708588600158691,0.668095588684082,0.0027632713317871094
